"NDB_Number","long_name","data_source","gtin_upc","manufacturer","date_modified","date_available","ingredients_english"
"45001775","COUSCOUS","LI","072769004230","C & F Foods Inc.","2018-04-27 11:31:59","2018-04-27 11:31:59","ORGANIC COUSCOUS (PRECOOKED ORGANIC DURUM WHEAT SEMOLINA), SEASONING (SEA SALT, ORGANIC DEXTROSE, ORGANIC GARLIC POWDER, ORGANIC DEHYDRATED GARLIC, ORGANIC SOY SAUCE POWDER [ORGANIC SOY SAUCE {ORGANIC SOYBEANS, SALT}, ORGANIC MALTODEXTRIN**, SALT], ORGANIC UMAMI FLAVOR [ORGANIC YEAST EXTRACT {CONTAINS WHEAT}, NATURAL FLAVORS], ORGANIC PARSLEY*, ORGANIC BLACK PEPPER, ORGANIC EXTRA VIRGIN OLIVE OIL)."
"45001778","FRESH & EASY, COUSCOUS","LI","5051379025649","FRESH & EASY","2018-04-26 19:03:03","2018-04-26 19:03:03","COUSCOUS."
"45001779","FRESH & EASY, BULGAR WHEAT","LI","5051379025663","FRESH & EASY","2018-04-26 16:28:12","2018-04-26 16:28:12","BULGUR WHEAT."
"45001780","FRESH & EASY, BLACK-EYED PEAS","LI","5051379025564","FRESH & EASY","2018-02-21 23:28:24","2018-02-21 23:28:24","BLACK-EYED PEAS."
"45001782","BLACK BEANS","LI","5051379025519","FRESH & EASY","2018-04-26 16:29:20","2018-04-26 16:29:20","BLACK BEANS."
"45001783","BLACK BEANS","LI","5051379060206","FRESH & EASY","2018-04-26 10:11:10","2018-04-26 10:11:10","ORGANIC BLACK BEANS."
"45001785","FRESH & EASY, GREEN LENTILS","LI","08273914","Naked Juice","2018-04-26 10:04:10","2018-04-26 10:04:10","GREEN LENTILS."
"45001786","FRESH & EASY, RED LENTILS","LI","5051379025489","FRESH & EASY","2018-04-26 19:01:05","2018-04-26 19:01:05","RED LENTILS."
"45001787","FRESH & EASY, LIGHT RED KIDNEY BEANS","LI","5051379025533","FRESH & EASY","2018-04-30 18:08:23","2018-04-30 18:08:23","LIGHT RED KIDNEY BEANS."
"45001788","FRESH & EASY, GARBANZO BEANS","LI","5051379025571","FRESH & EASY","2018-04-27 11:17:06","2018-04-27 11:17:06","GARBANZO BEANS (CHICKPEAS)."
"45001790","FRESH & EASY, MAYOCOBA BEANS","LI","5051379025588","FRESH & EASY","2017-10-11 18:04:06","2017-10-11 18:04:06","MAYOCOBA BEANS."
"45001791","FRESH & EASY, BEANS","LI","5051379025526","FRESH & EASY","2017-10-11 17:50:35","2017-10-11 17:50:35","GREAT NORTHERN BEANS."
"45001792","FRESH & EASY, SMALL RED BEANS","LI","5051379025540","FRESH & EASY","2018-04-27 11:33:23","2018-04-27 11:33:23","SMALL RED BEANS."
"45001793","FRESH & EASY, GREEN SPLIT PEAS","LI","5051379025502","FRESH & EASY","2018-04-30 17:03:46","2018-04-30 17:03:46","GREEN SPLIT PEAS."
"45001794","FRESH & EASY, PINTO BEANS","LI","5051379025595","FRESH & EASY","2018-04-30 21:01:29","2018-04-30 21:01:29","PINTO BEANS."
"45001795","FRESH & EASY, BEANS","LI","5051379025601","FRESH & EASY","2018-04-26 09:59:33","2018-04-26 09:59:33","PINTO BEANS."
"45001797","FRESH & EASY, JASMINE BROWN","LI","5051379025700","FRESH & EASY","2018-04-26 10:02:17","2018-04-26 10:02:17","JASMINE BROWN RICE."
"45001798","FRESH & EASY, LONG GRAIN BROWN","LI","5051379025694","FRESH & EASY","2018-04-27 00:39:14","2018-04-27 00:39:14","LONG GRAIN BROWN RICE."
"45001799","FRESH & EASY, BASMATI RICE","LI","5051379025687","FRESH & EASY","2018-04-26 18:04:24","2018-04-26 18:04:24","BASMATI RICE."
"45001801","RICE","LI","5051379025632","FRESH & EASY","2018-04-26 12:52:20","2018-04-26 12:52:20","CALROSE RICE ENRICHED WITH NIACIN, IRON, THIAMIN MONONITRATE, FOLIC ACID."
"45001802","ITALIAN GROWN RICE","LI","5051379025625","FRESH & EASY","2018-04-26 10:56:58","2018-04-26 10:56:58","ARBORIO RICE."
"45001803","RICE MEDLEY","LI","5051379028022","FRESH & EASY","2018-04-27 11:09:31","2018-04-27 11:09:31","BROWN BASMATI RICE, LONG GRAIN RED RICE, WILD RICE, SWEET BROWN RICE."
"45001806","LONG GRAIN WHITE RICE","LI","5051379025717","FRESH & EASY","2018-04-27 11:25:02","2018-04-27 11:25:02","LONG GRAIN WHITE RICE ENRICHED WITH NIACIN, IRON, THIAMIN MONONITRATE, FOLIC ACID."
"45001811","ATLANTIC SALMON BURGERS","LI","830859001787","The MacKnight Food Group","2017-08-27 01:28:14","2017-08-27 01:28:14","ATLANTIC SALMON (94%), BREAD CRUMBS, SALT, LEMON POWDER, CUMIN, CORIANDER, ONION POWDER, GARLIC POWDER."
"45001819","FRESH & EASY, SWAI FELLETS","LI","5051379071097","FRESH & EASY","2018-01-09 22:42:53","2018-01-09 22:42:53","FARM-RAISED SWAI (PANGASIUS HYPOPHTHALMUS)."
"45001821","FRESH & EASY, MAHI MAHI FILLETS","LI","5051379029029","FRESH & EASY","2018-03-27 18:39:05","2018-03-27 18:39:05","WILD CAUGHT MAHI MAHI."
"45001822","FRESH & EASY, SALMON","LI","5051379029050","FRESH & EASY","2018-04-26 10:04:28","2018-04-26 10:04:28","FARM-RAISED ATLANTIC SALMON (COLOR ADDED)."
"45001823","FRESH & EASY, TILAPIA","LI","5051379029043","FRESH & EASY","2018-04-26 09:56:34","2018-04-26 09:56:34","FARM-RAISED TILAPIA."
"45001824","FRESH & EASY, ALASKAN POLLOCK FILLETS","LI","5051379071073","FRESH & EASY","2018-01-10 14:03:11","2018-01-10 14:03:11","WILD CAUGHT ALASKAN POLLOCK."
"45001826","HANDCRAFTED NAAN FLATBREAD SANDWICH","LI","767226009506","Jagpreet Enterprises","2018-04-26 19:08:52","2018-04-26 19:08:52","NAAN, [UNBLEACHED FLOUR, WATER, GLUTEN, EXPELLER PRESSED CANOLA OIL, FRUITRIM (FRUIT JUICE, NATURAL GRAIN DEXTRIN), VEGETABLE GLYCERINE, VINEGAR, SALT, SUGAR, SOY FLOUR, DEXTROSE, YEAST, SOYBEAN OIL, ENZYMES, ASCORBIC ACID, BAKING POWDER, YEAST]. CHICKEN SLIDER: [GROUND CHICKEN, EXPELLER PRESSED CANOLA OIL, ONION, CILANTRO, SUKHI'S CHAPPLI SPICE BLEND (NON-MODIFIED FOOD STARCH, SPICES, SALT, NON-FAT DRY MILK, BROWN SUGAR, TURMERIC, GARLIC, ONION, CITRIC ACID, PAPRIKA) JALAPENO, CHANNA LENTILS, SUKHI'S KEBAB SPICE BLEND (SALT, SPICES, BROWN SUGAR, PAPRIKA, YEAST EXTRACT, COCONUT, PAPAIN, CITRIC ACID, LEMON POWDER (SUGAR, MALTODEXTRIN, SOY SAUCE (FERMENTED SOY BEANS, WHEAT, SALT), SALT, YEAST EXTRACT, SOY LECITHIN]. MINT CHUTNEY: [APPLESAUCE (APPLES, SUGAR), WATER, WHITE DISTILLED VINEGAR, CILANTRO, TOMATO, SUGAR, JALAPENO, ONIONS, GINGER, MINT, SALT, POMEGRANATE SEEDS,  GARLIC, SPICES]."
"45001833","CHICKEN THIGHS","LI","024105592055","GNP Company","2017-11-02 17:34:17","2017-11-02 17:34:17","ALL NATURAL * CHICKEN THIGH MEAT."
"45001834","CHICKEN DRUMSTICKS","LI","024105593052","GNP Company","2017-10-17 05:27:26","2017-10-17 05:27:26","ALL NATURAL* CHICKEN DRUMSTICKS."
"45001836","SHAVED PARMESAN CHEESE","LI","085239311769","Target Stores","2017-10-04 05:35:58","2017-10-04 05:35:58","PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ENZYMES, POWDERED CELLULOSE TO PREVENT CAKING, NATAMYCIN TO PROTECT FLAVOR."
"45001839","FROSTED SUGAR COOKIES","LI","085239441213","Target Stores","2018-03-11 07:04:10","2018-03-11 07:04:10","SUGAR, ENRICHED BLEACHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MARGARINE (PALM OIL, WATER, SOYBEAN OIL, SALT, CONTAINS 2% OR LESS OF: MONO- & DIGLYCERIDES, CALCIUM DISODIUM EDTA [PRESERVATIVE], ARTIFICIAL FLAVOR, ANNATTO [COLOR], VITAMIN A PALMITATE), EGGS, CONTAINS 2% OR LESS OF: WATER, RICE FLOUR, CORN STARCH, SKIM MILK, LEAVENING (BAKING SODA, SODIUM ALUMINUM SULFATE, MONOCALCIUM PHOSPHATE), VEGETABLE OIL (PALM KERNEL OIL AND/OR PALM OIL AND/OR PARTIALLY HYDROGENATED VEGETABLE OIL [COTTONSEED AND/OR SOYBEAN OIL]), ARTIFICIAL FLAVORS, FOOD STARCH MODIFIED, POLYSORBATE 60, CONFECTIONER'S GLAZE, CARMINE (COLOR), TITANIUM DIOXIDE (COLOR), BLUE 2 LAKE, BLUE 1 LAKE, BLUE 1, BLUE 2, RED 3, RED 40, RED 40 LAKE, YELLOW 5, YELLOW 5 LAKE, YELLOW 6, YELLOW 6 LAKE, GUM ARABIC, CELLULOSE GUM, CARRAGEENAN, SOY LECITHIN, CARNAUBA WAX, SODIUM PROPIONATE (PRESERVATIVE), GUM TRAGACANTH."
"45001840","WHITE FROSTED MINI SUGAR COOKIES","LI","085239441220","Target Stores","2018-03-11 02:19:37","2018-03-11 02:19:37","SUGAR, ENRICHED BLEACHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MARGARINE (PALM OIL, WATER, SOYBEAN OIL, SALT, CONTAINS 2% OR LESS OF: MONO- & DIGLYCERIDES, CALCIUM DISODIUM EDTA [PRESERVATIVE], ARTIFICIAL FLAVOR, ANNATTO [COLOR], VITAMIN A PALMITATE), WATER, CONTAINS 2% OR LESS OF: CORN STARCH, EGGS, VEGETABLE OIL (PALM KERNEL OIL AND/OR PALM OIL AND/OR PARTIALLY HYDROGENATED VEGETABLE OIL [COTTONSEED AND/OR SOYBEAN OIL]), LEAVENING (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE, CALCIUM SULFATE), NATURAL & ARTIFICIAL FLAVORS, DEXTRIN, CORN SYRUP, SOY LECITHIN, SOYBEAN OIL, CONFECTIONER'S GLAZE, SKIM MILK, POLYSORBATE 60, CARNAUBA WAX, BLUE 1, BLUE 1 LAKE, BLUE 2, BLUE 2 LAKE, RED 3, RED 40, RED 40 LAKE, YELLOW 5, YELLOW 5 LAKE, YELLOW 6, YELLOW 6 LAKE, CORN SYRUP SOLIDS, NONFAT MILK, SODIUM CASEINATE, MILK PROTEIN CONCENTRATE, SALT, FOOD STARCH-MODIFIED, MONO & DIGLYCERIDES."
"45001841","CHOCOLATY DIPPED GRAHAM CRACKERS","LI","085239416105","Target Stores","2017-07-14 18:39:40","2017-07-14 18:39:40","SUGAR, VEGETABLE OIL (PALM KERNEL, PARTIALLY HYDROGENATED PALM KERNEL, PALM AND COCONUT, SOYBEAN, HYDROGENATED PALM), COCOA POWDER PROCESSED WITH ALKALI, NONFAT DRY MILK, SKIM MILK, WHEY POWDER, LACTOSE, WHEAT FLOUR, GRAHAM FLOUR, HONEY, SODIUM BICARBONATE, MOLASSES, SALT, AMMONIUM BICARBONATE, TITANIUM DIOXIDE (COLOR), DISTILLED MONOGLYCERIDE, SOY LECITHIN, VANILLIN, NATURAL VANILLA, SODIUM SULFITE, RED 40 LAKE."
"45001846","FERRERO COLLECTION, FINE ASSORTED CONFECTIONS","LI","009800200252","Ferrero U.S.A., Incorporated","2017-07-14 17:12:57","2017-07-14 17:12:57","FERRIC RONDNOIR - SEMISWEET CHOCOLATE (SUGAR, COCOA MASS, COCOA BUTTER, LECITHIN AS EMULSIFIER (SOY), VANILLA: AN ARTIFICIAL), SUGAR, VEGETABLE OILS (PALM AND SUNFLOWER), COCOA POWDER, HAZELNUTS, WHEY POWDER (MILK), WHEAT FLOUR, MILK CHOCOLATE (SUGAR, COCOA BUTTER, MILK POWDER, COCOA MASS, LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR), WHEAT STARCH, LECITHIN AS EMULSIFIER (SOY), COCOA BUTTER, WHEY PROTEINS (MILK), SKIM MILK POWDER, SODIUM BICARBONATE AND VANILLIN: AN ARTIFICIAL AS LEAVENING AGENTS, SALT, VANILLIN: AN ARTIFICIAL FLAVOR. FERRERO ROCHER - MILK CHOCOLATE (SUGAR, COCOA BUTTER, COCOA MASS, SKIM MILK POWDER, BUTTERROIL, LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR), HAZELNUTS, SUGAR, PALM OIL, WHEAT FLOUR, WHEY (MILK), LOWFAT COCOA POWDER, LECITHIN AS EMULSIFIER (SOY), SODIUM BICARBONATE AS LEAVENING AGENT, SALT, VANILLIN: AN ARTIFICIAL FLAVOR. RAFFAELLO - DRY COCONUT, VEGETABLE OILS (PALM AND SHEANUT), SUGAR, ALMONDS, SKIM MILK POWDER, WHEY POWDER (MILK), WHEAT FLOUR, TAPIOCA STARCH, LECITHIN AS EMULSIFIER (SOY), NATURAL AND ARTIFICIAL FLAVORS, SODIUM BICARBONATE AS LEAVENING AGENT, SALT."
"45001848","KROGER, CHIPMATES, COOKIES, CHOCOLATE CHIPS","LI","011110015938","The Kroger Co.","2018-03-11 07:21:34","2018-03-11 07:21:34","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, ANHYDROUS DEXTROSE, COCOA BUTTER, SOY LECITHIN), SUGAR, PARTIALLY HYDROGENATED SOYBEAN AND/OR COTTONSEED OILS, WATER, CONTAINS 2% OR LESS OF: WHEY, MOLASSES, BAKING SODA, SALT, NATURAL COCOA POWDER, AMMONIUM BICARBONATE, NATURAL AND ARTIFICIAL FLAVORS, DEXTROSE, CORN STARCH, GLYCERINE."
"45001849","CHOCOLATE CHIP COOKIES","LI","011110015921","The Kroger Co.","2018-04-27 10:41:15","2018-04-27 10:41:15","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MILK CHOCOLATE FLAVORED CANDY PIECES (SUGAR, PARTIALLY HYDROGENATED PALM KERNEL OILS, COCOA, WHEY, NONFAT MILK POWDER, SOY LECITHIN, VANILLA, CORN SYRUP, GUM ARABIC, ARTIFICIAL COLORING [INCLUDES YELLOW 5 LAKE, RED 40 LAKE, BLUE 1 LAKE, BLUE 2 LAKE, YELLOW 6 LAKE, TITANIUM DIOXIDE], CONFECTIONER'S GLAZE [CARNAUBA WAX, BEESWAX, SHELLAC]), SUGAR, PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OILS, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, ANHYDROUS DEXTROSE, COCOA BUTTER, SOY LECITHIN), WATER. CONTAINS 2% OR LESS OF: MOLASSES, SALT, WHEY, BAKING SODA, AMMONIUM BICARBONATE, NATURAL AND ARTIFICIAL FLAVOR, DEXTROSE, CORN STARCH, SOY LECITHIN."
